year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,delay_rate,date
2025,1,UA,United Air Lines Network,SFO,"San Francisco, CA: San Francisco International",4293.0,538.0,208.46,21.66,166.01,0.0,141.87,46.0,2.0,36261.0,13219.0,1221.0,6582.0,0.0,15239.0,0.12532028884230142,2025-01-01
2025,1,UA,United Air Lines Network,SLC,"Salt Lake City, UT: Salt Lake City International",451.0,95.0,41.76,2.88,26.79,0.0,23.57,4.0,0.0,4542.0,2064.0,117.0,1009.0,0.0,1352.0,0.2106430155210643,2025-01-01
2025,1,UA,United Air Lines Network,TPA,"Tampa, FL: Tampa International",785.0,138.0,41.7,5.65,52.71,0.0,37.93,7.0,1.0,8261.0,2940.0,345.0,2208.0,0.0,2768.0,0.17579617834394903,2025-01-01
2024,12,UA,United Air Lines Network,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",531.0,104.0,36.79,1.87,32.29,0.0,33.04,4.0,1.0,5019.0,1635.0,219.0,1216.0,0.0,1949.0,0.1958568738229755,2024-12-01
2024,12,UA,United Air Lines Network,AUS,"Austin, TX: Austin - Bergstrom International",723.0,143.0,50.52,3.85,39.02,0.0,49.6,2.0,0.0,9271.0,3312.0,376.0,1307.0,0.0,4276.0,0.19778699861687413,2024-12-01
2024,12,UA,United Air Lines Network,BNA,"Nashville, TN: Nashville International",448.0,92.0,36.54,0.92,22.76,0.0,31.78,2.0,0.0,4694.0,1520.0,132.0,750.0,0.0,2292.0,0.20535714285714285,2024-12-01
2024,12,UA,United Air Lines Network,BOS,"Boston, MA: Logan International",971.0,202.0,61.0,6.25,74.43,0.63,59.69,9.0,2.0,17074.0,4202.0,2113.0,5957.0,12.0,4790.0,0.20803295571575695,2024-12-01
2024,12,UA,United Air Lines Network,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",283.0,45.0,18.3,0.85,6.47,0.0,19.38,0.0,0.0,2130.0,751.0,225.0,262.0,0.0,892.0,0.15901060070671377,2024-12-01
2024,12,UA,United Air Lines Network,CLT,"Charlotte, NC: Charlotte Douglas International",321.0,75.0,22.42,1.93,20.64,0.0,30.01,0.0,2.0,4895.0,1509.0,75.0,666.0,0.0,2645.0,0.2336448598130841,2024-12-01
2024,12,UA,United Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",474.0,94.0,33.75,2.98,35.77,0.0,21.5,0.0,0.0,4858.0,1859.0,278.0,1400.0,0.0,1321.0,0.19831223628691982,2024-12-01
2024,12,UA,United Air Lines Network,DEN,"Denver, CO: Denver International",8538.0,1050.0,420.34,30.29,245.62,0.0,353.74,33.0,3.0,76015.0,28956.0,3099.0,9340.0,0.0,34620.0,0.12297962052002812,2024-12-01
2024,12,UA,United Air Lines Network,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",691.0,129.0,46.72,5.53,40.79,0.0,35.95,2.0,6.0,8457.0,2769.0,406.0,2427.0,0.0,2855.0,0.18668596237337193,2024-12-01
2024,12,UA,United Air Lines Network,DTW,"Detroit, MI: Detroit Metro Wayne County",216.0,34.0,12.76,1.5,7.36,0.0,12.38,1.0,0.0,1870.0,745.0,166.0,219.0,0.0,740.0,0.1574074074074074,2024-12-01
2024,12,UA,United Air Lines Network,EWR,"Newark, NJ: Newark Liberty International",5955.0,1536.0,373.49,33.82,744.03,0.0,384.66,36.0,11.0,116838.0,30508.0,4246.0,46595.0,0.0,35489.0,0.2579345088161209,2024-12-01
2024,12,UA,United Air Lines Network,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",835.0,175.0,44.31,4.6,79.53,0.0,46.57,5.0,0.0,9607.0,2461.0,422.0,3684.0,0.0,3040.0,0.20958083832335328,2024-12-01
2024,12,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",2742.0,468.0,187.99,7.18,133.39,0.0,139.44,10.0,1.0,32238.0,12054.0,661.0,5174.0,0.0,14349.0,0.17067833698030635,2024-12-01
2024,12,UA,United Air Lines Network,IAH,"Houston, TX: George Bush Intercontinental/Houston",6015.0,1152.0,359.25,25.76,483.26,0.0,283.73,68.0,15.0,90828.0,25210.0,4046.0,28838.0,0.0,32734.0,0.1915211970074813,2024-12-01
2024,12,UA,United Air Lines Network,LAS,"Las Vegas, NV: Harry Reid International",1261.0,175.0,70.21,3.59,40.7,0.0,60.5,3.0,2.0,9436.0,3593.0,370.0,1331.0,0.0,4142.0,0.1387787470261697,2024-12-01
2024,12,UA,United Air Lines Network,LAX,"Los Angeles, CA: Los Angeles International",2386.0,383.0,139.88,8.42,119.7,0.0,114.99,6.0,5.0,24065.0,7701.0,1024.0,3876.0,0.0,11464.0,0.16051969823973178,2024-12-01
2024,12,UA,United Air Lines Network,LGA,"New York, NY: LaGuardia",644.0,146.0,40.61,6.51,68.04,0.0,30.84,0.0,3.0,8186.0,2693.0,357.0,3078.0,0.0,2058.0,0.2267080745341615,2024-12-01
2024,12,UA,United Air Lines Network,MCO,"Orlando, FL: Orlando International",1249.0,238.0,74.2,8.23,89.36,0.0,66.21,13.0,4.0,15007.0,4417.0,757.0,3840.0,0.0,5993.0,0.19055244195356286,2024-12-01
2024,12,UA,United Air Lines Network,MIA,"Miami, FL: Miami International",662.0,186.0,53.9,3.02,88.53,0.0,40.55,3.0,0.0,11237.0,2756.0,338.0,4660.0,0.0,3483.0,0.2809667673716012,2024-12-01
2024,12,UA,United Air Lines Network,MSP,"Minneapolis, MN: Minneapolis-St Paul International",359.0,63.0,30.84,2.18,7.35,0.0,22.63,1.0,0.0,3452.0,1407.0,226.0,289.0,0.0,1530.0,0.17548746518105848,2024-12-01
2024,12,UA,United Air Lines Network,ORD,"Chicago, IL: Chicago O'Hare International",7111.0,1406.0,420.01,21.68,636.74,0.0,327.57,25.0,4.0,84243.0,27662.0,2119.0,22261.0,0.0,32201.0,0.1977218394037407,2024-12-01
2024,12,UA,United Air Lines Network,PHL,"Philadelphia, PA: Philadelphia International",324.0,56.0,15.16,1.83,24.47,0.0,14.54,3.0,0.0,2928.0,824.0,222.0,823.0,0.0,1059.0,0.1728395061728395,2024-12-01
2024,12,UA,United Air Lines Network,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1020.0,134.0,44.37,4.07,29.48,0.0,56.08,1.0,1.0,8047.0,2434.0,502.0,1057.0,0.0,4054.0,0.13137254901960785,2024-12-01
2024,12,UA,United Air Lines Network,SAN,"San Diego, CA: San Diego International",880.0,188.0,52.5,12.28,66.6,0.0,56.62,7.0,17.0,15823.0,2817.0,4353.0,3561.0,0.0,5092.0,0.21363636363636362,2024-12-01
2024,12,UA,United Air Lines Network,SEA,"Seattle, WA: Seattle/Tacoma International",643.0,91.0,33.07,3.22,16.08,0.0,38.63,2.0,2.0,5003.0,1780.0,517.0,549.0,0.0,2157.0,0.14152410575427682,2024-12-01
2024,12,UA,United Air Lines Network,SFO,"San Francisco, CA: San Francisco International",4585.0,964.0,282.57,30.12,415.26,0.0,236.05,27.0,5.0,66778.0,19949.0,3770.0,20737.0,0.0,22322.0,0.21025081788440567,2024-12-01
2024,12,UA,United Air Lines Network,SLC,"Salt Lake City, UT: Salt Lake City International",348.0,75.0,26.63,2.83,13.62,0.58,31.35,2.0,1.0,4601.0,1413.0,503.0,561.0,15.0,2109.0,0.21551724137931033,2024-12-01
2024,12,UA,United Air Lines Network,TPA,"Tampa, FL: Tampa International",803.0,161.0,44.71,2.05,69.18,0.0,45.07,1.0,1.0,7999.0,2045.0,402.0,3001.0,0.0,2551.0,0.20049813200498132,2024-12-01
2024,11,UA,United Air Lines Network,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",616.0,91.0,29.09,2.54,28.39,0.0,30.98,2.0,1.0,5335.0,1637.0,151.0,1127.0,0.0,2420.0,0.14772727272727273,2024-11-01
2024,11,UA,United Air Lines Network,AUS,"Austin, TX: Austin - Bergstrom International",879.0,160.0,47.48,1.29,54.41,0.0,56.83,2.0,4.0,10163.0,2646.0,176.0,2532.0,0.0,4809.0,0.1820250284414107,2024-11-01
